All accuracies:

File                                    Accuracy  

pred_georgian_12500_exp2_res37.txt      97.60     
pred_georgian_12500_exp2_res78.txt      97.80     
pred_georgian_12500_exp2_res31.txt      97.10     
pred_georgian_12500_exp2_res89.txt      97.60     
pred_georgian_12500_exp2_res93.txt      98.10     
pred_georgian_12500_exp2_res96.txt      97.80     
pred_georgian_12500_exp2_res71.txt      98.30     
pred_georgian_12500_exp2_res19.txt      97.80     
pred_georgian_12500_exp2_res34.txt      98.30     
pred_georgian_12500_exp2_res53.txt      97.30     
pred_georgian_12500_exp2_res73.txt      97.80     
pred_georgian_12500_exp2_res84.txt      96.80     
pred_georgian_12500_exp2_res42.txt      97.80     
pred_georgian_12500_exp2_res83.txt      97.80     
pred_georgian_12500_exp2_res45.txt      98.00     
pred_georgian_12500_exp2_res22.txt      98.10     
pred_georgian_12500_exp2_res33.txt      97.40     
pred_georgian_12500_exp2_res1.txt       97.70     
pred_georgian_12500_exp2_res82.txt      97.80     
pred_georgian_12500_exp2_res4.txt       97.00     
pred_georgian_12500_exp2_res90.txt      97.90     
pred_georgian_12500_exp2_res50.txt      97.20     
pred_georgian_12500_exp2_res5.txt       97.80     
pred_georgian_12500_exp2_res26.txt      97.50     
pred_georgian_12500_exp2_res56.txt      98.50     
pred_georgian_12500_exp2_res32.txt      98.00     
pred_georgian_12500_exp2_res68.txt      97.80     
pred_georgian_12500_exp2_res36.txt      96.50     
pred_georgian_12500_exp2_res55.txt      98.70     
pred_georgian_12500_exp2_res29.txt      98.20     
pred_georgian_12500_exp2_res66.txt      97.30     
pred_georgian_12500_exp2_res12.txt      97.70     
pred_georgian_12500_exp2_res20.txt      98.10     
pred_georgian_12500_exp2_res51.txt      97.40     
pred_georgian_12500_exp2_res87.txt      97.20     
pred_georgian_12500_exp2_res76.txt      97.30     
pred_georgian_12500_exp2_res47.txt      96.90     
pred_georgian_12500_exp2_res14.txt      97.00     
pred_georgian_12500_exp2_res54.txt      97.80     
pred_georgian_12500_exp2_res63.txt      97.20     
pred_georgian_12500_exp2_res30.txt      97.30     
pred_georgian_12500_exp2_res88.txt      97.70     
pred_georgian_12500_exp2_res10.txt      96.80     
pred_georgian_12500_exp2_res48.txt      97.60     
pred_georgian_12500_exp2_res27.txt      97.90     
pred_georgian_12500_exp2_res58.txt      97.70     
pred_georgian_12500_exp2_res21.txt      97.40     
pred_georgian_12500_exp2_res11.txt      97.70     
pred_georgian_12500_exp2_res99.txt      97.80     
pred_georgian_12500_exp2_res92.txt      97.60     
pred_georgian_12500_exp2_res52.txt      98.10     
pred_georgian_12500_exp2_res64.txt      97.70     
pred_georgian_12500_exp2_res85.txt      97.50     
pred_georgian_12500_exp2_res60.txt      97.40     
georgian_exp2_weighted_voted.txt        99.10     
pred_georgian_12500_exp2_res16.txt      97.70     
pred_georgian_12500_exp2_res43.txt      97.80     
pred_georgian_12500_exp2_res7.txt       97.60     
pred_georgian_12500_exp2_res2.txt       97.20     
pred_georgian_12500_exp2_res95.txt      97.80     
pred_georgian_12500_exp2_res79.txt      98.10     
pred_georgian_12500_exp2_res18.txt      98.00     
pred_georgian_12500_exp2_res44.txt      97.30     
pred_georgian_12500_exp2_res100.txt     97.60     
pred_georgian_12500_exp2_res62.txt      98.20     
pred_georgian_12500_exp2_res24.txt      97.00     
pred_georgian_12500_exp2_res40.txt      97.70     
pred_georgian_12500_exp2_res49.txt      96.70     
pred_georgian_12500_exp2_res97.txt      97.30     
pred_georgian_12500_exp2_res94.txt      97.90     
pred_georgian_12500_exp2_res3.txt       98.10     
pred_georgian_12500_exp2_res74.txt      97.50     
pred_georgian_12500_exp2_res75.txt      97.20     
pred_georgian_12500_exp2_res25.txt      98.10     
pred_georgian_12500_exp2_res80.txt      98.30     
georgian_exp2_voted.txt                 99.10     
pred_georgian_12500_exp2_res28.txt      97.60     
pred_georgian_12500_exp2_res57.txt      97.90     
pred_georgian_12500_exp2_res77.txt      97.80     
pred_georgian_12500_exp2_res46.txt      97.60     
pred_georgian_12500_exp2_res38.txt      98.30     
pred_georgian_12500_exp2_res91.txt      97.40     
pred_georgian_12500_exp2_res72.txt      97.50     
pred_georgian_12500_exp2_res70.txt      97.80     
pred_georgian_12500_exp2_res41.txt      98.30     
pred_georgian_12500_exp2_res98.txt      96.80     
pred_georgian_12500_exp2_res67.txt      97.50     
pred_georgian_12500_exp2_res9.txt       97.50     
pred_georgian_12500_exp2_res61.txt      98.30     
pred_georgian_12500_exp2_res13.txt      97.70     
pred_georgian_12500_exp2_res65.txt      97.10     
pred_georgian_12500_exp2_res35.txt      98.30     
pred_georgian_12500_exp2_res8.txt       97.80     
pred_georgian_12500_exp2_res23.txt      97.50     
pred_georgian_12500_exp2_res15.txt      98.10     
pred_georgian_12500_exp2_res59.txt      97.30     
pred_georgian_12500_exp2_res39.txt      97.50     
pred_georgian_12500_exp2_res69.txt      97.40     
pred_georgian_12500_exp2_res81.txt      97.80     
pred_georgian_12500_exp2_res17.txt      97.50     
pred_georgian_12500_exp2_res86.txt      98.10     
pred_georgian_12500_exp2_res6.txt       98.50     

Average accuracy of s1-s100 models:     97.66                                   
